zip_code,case_count,report_date
85249,304,2020-07-07
85250,187,2020-07-07
85251,772,2020-07-07
85253,222,2020-07-07
85254,501,2020-07-07
85255,494,2020-07-07
85256,122,2020-07-07
85257,561,2020-07-07
85258,262,2020-07-07
85259,223,2020-07-07
85260,438,2020-07-07
85262,60,2020-07-07
85264,14,2020-07-07
85266,73,2020-07-07
85268,123,2020-07-07
85281,1053,2020-07-07
85282,766,2020-07-07
85283,736,2020-07-07
85284,151,2020-07-07
85286,436,2020-07-07
85295,421,2020-07-07
85296,421,2020-07-07
85297,367,2020-07-07
85298,256,2020-07-07
85301,1533,2020-07-07
85302,807,2020-07-07
85303,872,2020-07-07
85304,367,2020-07-07
85305,442,2020-07-07
85306,310,2020-07-07
85307,126,2020-07-07
85308,696,2020-07-07
85309,40,2020-07-07
85310,199,2020-07-07
85320,41,2020-07-07
85321,38,2020-07-07
85323,976,2020-07-07
85324,13,2020-07-07
85325,0,2020-07-07
85326,1036,2020-07-07
85329,69,2020-07-07
85331,223,2020-07-07
85335,556,2020-07-07
85336,293,2020-07-07
85337,66,2020-07-07
85338,783,2020-07-07
85339,1051,2020-07-07
85340,382,2020-07-07
85344,123,2020-07-07
85345,986,2020-07-07
85346,13,2020-07-07
85348,14,2020-07-07
85349,432,2020-07-07
85350,2421,2020-07-07
85351,198,2020-07-07
85352,11,2020-07-07
85353,1291,2020-07-07
85354,63,2020-07-07
85355,120,2020-07-07
85356,77,2020-07-07
85357,0,2020-07-07
85360,0,2020-07-07
85361,80,2020-07-07
85363,182,2020-07-07
85364,2815,2020-07-07
85365,1138,2020-07-07
85367,302,2020-07-07
85373,121,2020-07-07
85374,354,2020-07-07
85375,171,2020-07-07
85377,20,2020-07-07
85378,111,2020-07-07
85379,523,2020-07-07
85381,370,2020-07-07
85382,511,2020-07-07
85383,526,2020-07-07
85387,131,2020-07-07
85388,273,2020-07-07
85390,37,2020-07-07
85392,777,2020-07-07
85395,488,2020-07-07
85396,253,2020-07-07
85501,99,2020-07-07
85530,0,2020-07-07
85531,0,2020-07-07
85539,37,2020-07-07
85540,16,2020-07-07
85541,116,2020-07-07
85543,32,2020-07-07
85545,0,2020-07-07
85546,94,2020-07-07
85550,133,2020-07-07
85552,21,2020-07-07
85554,0,2020-07-07
85602,39,2020-07-07
85603,33,2020-07-07
85607,414,2020-07-07
85609,0,2020-07-07
85613,14,2020-07-07
85614,199,2020-07-07
85615,11,2020-07-07
85618,17,2020-07-07
85619,0,2020-07-07
85620,16,2020-07-07
85621,1148,2020-07-07
85622,23,2020-07-07
85626,18,2020-07-07
85629,252,2020-07-07
85633,0,2020-07-07
85634,107,2020-07-07
85635,142,2020-07-07
85639,0,2020-07-07
85640,0,2020-07-07
85641,124,2020-07-07
85643,85,2020-07-07
85645,23,2020-07-07
85646,11,2020-07-07
85648,856,2020-07-07
85650,38,2020-07-07
85653,102,2020-07-07
85658,60,2020-07-07
85701,50,2020-07-07
85704,237,2020-07-07
85705,612,2020-07-07
85706,1277,2020-07-07
85710,447,2020-07-07
